id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated
168634,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",,thịt bò,183,30.55,0,5.79,0,,64,393,244,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168634",FALSE
168635,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",,thịt bò,188,30.29,0,6.55,0,,63,380,237,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168635",FALSE
168636,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",,thịt bò,177,30.8,0,5.03,0,,66,410,253,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168636",FALSE
168637,"Beef, short loin, porterhouse steak, separable lean only,  trimmed to 1/8"" fat, all grades, cooked, grilled",,thịt bò,213,28.16,0,10.32,0,,68,291,224,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168637",FALSE
168638,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",,thịt bò,212,26.07,0,11.18,0,,69,328,211,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168638",FALSE
168639,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",,thịt bò,224,25.51,0,12.8,0,,69,301,211,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168639",FALSE
168640,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",,thịt bò,145,22.61,0,5.41,0,,43,266,200,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168640",FALSE
168641,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",,thịt bò,203,28.92,0,8.76,0,,67,292,227,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168641",FALSE
168642,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, all grades, raw",,thịt bò,153,22.22,0,6.5,0,,42,267,200,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168642",FALSE
168643,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",,thịt bò,212,27.86,0,10.37,0,,67,290,219,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168643",FALSE
168644,"Beef, short loin, t-bone steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",,thịt bò,198,25.98,0,9.61,0,,71,327,215,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168644",FALSE
168645,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, select, raw",,thịt bò,144,22.41,0,5.34,0,,57,284,214,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168645",FALSE
168646,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, choice, raw",,thịt bò,156,20.16,0,7.73,0,,51,309,191,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168646",FALSE
168647,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, raw",,thịt bò,145,20.8,0,6.28,0,,58,327,196,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168647",FALSE
168648,"Beef, rib, eye, small end (ribs 10- 12) separable lean only, trimmed to 0"" fat, select, cooked, broiled",,thịt bò,182,29.93,0,6.05,0,,63,392,242,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168648",FALSE
168649,"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",,thịt bò,162,30.09,0,3.77,0,,75,435,306,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168649",FALSE
168650,"Beef, ground, 70% lean meat / 30% fat, patty cooked, pan-broiled",,thịt bò,238,22.86,0,15.54,0,,92,308,194,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168650",FALSE
168651,"Beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled",,thịt bò,277,25.38,0,18.66,0,,81,275,185,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168651",FALSE
168652,"Beef, ground, 70% lean meat / 30% fat, raw",,thịt bò,332,14.35,0,30,0,,66,218,132,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168652",FALSE
168653,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, select, raw",,thịt bò,157,19.71,0.21,8.54,0,,77,329,186,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168653",FALSE
168654,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",,thịt bò,196,28.15,0,9.23,0,,87,390,224,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168654",FALSE
168655,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",,thịt bò,133,20.39,0,5.73,0,,87,346,211,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168655",FALSE
168656,"Beef, brisket, flat half, boneless separable lean only, trimmed to 0"" fat, all grades, raw",,thịt bò,132,21.47,0,5.11,0,,83,362,222,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168656",FALSE
168657,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, choice, raw",,thịt bò,137,21.28,0,5.75,0,,82,367,224,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168657",FALSE
168658,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",,thịt bò,124,21.74,0,4.14,0,,85,353,218,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168658",FALSE
168659,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",,thịt bò,220,27.51,0,12.26,0,,84,374,217,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168659",FALSE
168660,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",,thịt bò,180,19.18,0,11.48,0,,81,332,189,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168660",FALSE
168661,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",,thịt bò,185,19.14,0,12.02,0,,80,310,186,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168661",FALSE
168662,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, select, raw",,thịt bò,173,19.25,0,10.67,0,,82,367,187,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168662",FALSE
168663,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, cooked",,thịt bò,245,26.06,0,15.09,0,,51,262,174,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168663",FALSE
168664,"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",,thịt bò,253,18.42,0.56,19.06,0,,69,282,177,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168664",FALSE
168665,"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",,thịt bò,331,25.85,0,24.5,0,,64,251,207,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168665",FALSE
168666,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",,thịt bò,277,17.94,0,22.18,0,,59,276,165,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168666",FALSE
168667,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",,thịt bò,302,30.12,0,19.22,0,,50,242,183,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168667",FALSE
168668,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,249,19.14,0,18.57,0,,63,290,171,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168668",FALSE
168669,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",,thịt bò,309,30.2,0,19.93,0,,49,241,182,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168669",FALSE
168670,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,239,19.33,0,17.39,0,,62,290,176,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168670",FALSE
168671,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",,thịt bò,359,26.37,0,27.26,0,,64,230,198,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168671",FALSE
168672,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,230,17.37,0,17.33,0,,69,276,164,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168672",FALSE
168673,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",,thịt bò,318,27.33,0,22.35,0,,66,237,206,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168673",FALSE
168674,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",,thịt bò,183,26.65,0,8.46,0,,80,344,210,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168674",FALSE
168675,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,322,16.34,0,27.93,0,,54,267,154,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168675",FALSE
168676,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,thịt bò,352,22.26,0,28.5,0,,63,313,178,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168676",FALSE
168677,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,thịt bò,365,22.6,0,29.79,0,,64,302,176,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168677",FALSE
168678,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,288,16.75,0,23.95,0,,55,278,159,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168678",FALSE
168679,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",,thịt bò,400,22.57,0,33.7,0,,65,304,175,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168679",FALSE
168680,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",,thịt bò,316,16.26,0,27.29,0,,55,260,153,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168680",FALSE
168681,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",,thịt bò,338,21.55,0,27.22,0,,64,309,182,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168681",FALSE
168682,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",,thịt bò,355,23.01,0,28.51,0,,64,293,173,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168682",FALSE
168683,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",,thịt bò,324,21.55,0,25.71,0,,64,309,182,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168683",FALSE
168684,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",,thịt bò,333,23.4,0,25.84,0,,65,299,176,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168684",FALSE
168685,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, raw",,thịt bò,367,15.77,0,33.26,0,,53,248,147,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168685",FALSE
168686,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",,thịt bò,404,20.65,0,34.97,0,,62,298,164,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168686",FALSE
168687,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",,thịt bò,393,22.86,0,32.74,0,,64,291,172,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168687",FALSE
168688,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,thịt bò,304,24.53,0,22.09,0,,49,298,183,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168688",FALSE
168689,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,thịt bò,359,22.28,0,29.21,0,,63,319,181,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168689",FALSE
168690,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,246,19.56,0,18,0,,49,297,180,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168690",FALSE
168691,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",,thịt bò,278,27.17,0,18,0,,58,349,219,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168691",FALSE
168692,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",,thịt bò,194,27.7,0,9.29,0,,88,388,224,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168692",FALSE
168693,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",,thịt bò,146,20.16,0,7.25,0,,82,335,201,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168693",FALSE
168694,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,195,20.56,0,11.92,0,,54,342,199,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168694",FALSE
168695,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,thịt bò,235,27.54,0,12.98,0,,62,395,240,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168695",FALSE
168696,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",,thịt bò,218,26.41,0,11.64,0,,35,214,164,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168696",FALSE
168697,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,198,20.71,0,12.15,0,,53,319,197,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168697",FALSE
168698,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",,thịt bò,254,32.85,0,12.56,0,,42,263,199,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168698",FALSE
168699,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,thịt bò,223,26.05,0,12.44,0,,34,210,159,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168699",FALSE
168700,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,187,20.68,0,10.93,0,,60,335,201,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168700",FALSE
168701,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,173,21.68,0,8.91,0,,55,334,206,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168701",FALSE
168702,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,thịt bò,212,28.48,0,10.05,0,,37,227,171,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168702",FALSE
168703,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,160,21.3,0.08,7.57,0,,62,346,208,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168703",FALSE
168704,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",,thịt bò,204,28.13,0,9.26,0,,37,228,177,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168704",FALSE
168705,"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,178,19.74,0,10.39,0,,58,332,195,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168705",FALSE
168706,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",,thịt bò,210,27.63,0,10.24,0,,64,370,232,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168706",FALSE
168707,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",,thịt bò,152,20.07,0,7.94,0,,81,336,199,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168707",FALSE
168708,"Beef, round, top round, separable lean only, trimmed to 1/8"" fat, choice, cooked, pan-fried",,thịt bò,228,33.93,2.03,8.33,0,,65,484,286,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168708",FALSE
168709,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",,thịt bò,250,34.09,0,11.61,0,,45,317,214,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168709",FALSE
168710,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,thịt bò,224,30.7,0,10.27,0,,40,248,187,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168710",FALSE
168711,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried",,thịt bò,266,32.99,0,13.83,0,,68,480,274,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168711",FALSE
168712,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,164,22.18,0,7.68,0,,63,357,214,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168712",FALSE
168713,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",,thịt bò,225,34.6,0,8.54,0,,45,321,217,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168713",FALSE
168714,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",,thịt bò,165,20.32,0,9.29,0,,80,344,210,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168714",FALSE
168715,"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,218,20.36,0,14.58,0,,52,246,188,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168715",FALSE
168716,"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",,thịt bò,284,24.85,0,19.78,0,,63,255,207,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168716",FALSE
168717,"Beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,228,20,0,15.83,0,,35,229,174,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168717",FALSE
168718,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",,thịt bò,278,26.16,0,18.45,0,,52,316,195,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168718",FALSE
168719,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,224,20.59,0,15.04,0,,52,313,189,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168719",FALSE
168720,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",,thịt bò,250,26.72,0,15.11,0,,57,340,213,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168720",FALSE
168721,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, prime, raw",,thịt bò,281,19,0,22.17,0,,53,295,163,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168721",FALSE
168722,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,thịt bò,273,26.43,0,17.78,0,,52,318,196,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168722",FALSE
168723,"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,thịt bò,331,23.9,0,25.39,0,,65,407,236,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168723",FALSE
168724,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",,thịt bò,249,19.37,0,18.46,0,,50,300,182,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168724",FALSE
168725,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",,thịt bò,262,26.48,0,16.53,0,,57,340,214,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168725",FALSE
168726,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",,thịt bò,201,20.3,0,12.71,0,,52,315,187,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168726",FALSE
168727,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",,thịt bò,243,26.96,0,14.23,0,,56,336,209,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168727",FALSE
168728,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,thịt bò,214,19.92,0,14.28,0,,51,309,181,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168728",FALSE
168729,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,thịt bò,257,26.8,0,15.75,0,,54,327,201,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168729",FALSE
168730,"Beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",,thịt bò,172,28.09,0,5.82,0,,74,384,222,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168730",FALSE
168731,"Beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",,thịt bò,178,28.54,0,6.25,0,,68,372,249,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168731",FALSE
168732,"Beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",,thịt bò,169,28.71,0,5.17,0,,68,371,249,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168732",FALSE
168733,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",,thịt bò,192,27.66,0,8.23,0,,56,339,210,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168733",FALSE
168734,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",,thịt bò,165,20.64,0,8.55,0,,52,317,189,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168734",FALSE
168735,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",,thịt bò,221,25.66,0,12.36,0,,50,308,189,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168735",FALSE
168736,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, raw",,thịt bò,174,20.64,0,9.51,0,,51,313,183,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168736",FALSE
168737,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",,thịt bò,201,26.44,0,9.78,0,,56,338,212,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168737",FALSE
168738,"Beef, chuck, top blade, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",,thịt bò,217,26.11,0,11.65,0,,68,304,218,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168738",FALSE
168739,"Beef, chuck, top blade, separable lean only, trimmed to 0"" fat, select, cooked, broiled",,thịt bò,184,26.16,0,8,0,,68,304,217,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168739",FALSE
168740,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",,thịt bò,170,30.12,0,4.62,0,,78,426,305,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168740",FALSE
168741,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",,thịt bò,162,29.7,0,3.85,0,,76,436,304,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168741",FALSE
168742,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, select, raw",,thịt bò,133,20.52,0,5.71,0,,86,393,200,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168742",FALSE
168743,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",,thịt bò,169,20.15,0,9.86,0,,79,349,212,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168743",FALSE
168744,"Beef, plate, inside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",,thịt bò,205,26.66,0,10.06,0,,76,295,236,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168744",FALSE
168745,"Beef, plate, outside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",,thịt bò,233,24.18,0,14.37,0,,94,393,221,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168745",FALSE
168746,"Alcoholic beverage, beer, regular, all",,đồ uống,43,0.46,3.55,0,0,,4,27,14,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168746",FALSE
168747,"Alcoholic beverage, beer, regular, BUDWEISER",,đồ uống,41,0.36,2.97,0,0,,3,33,13,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168747",FALSE
168749,"Alcoholic beverage, beer, light",,đồ uống,29,0.24,1.64,0,0,,4,21,12,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168749",FALSE
168750,"Alcoholic beverage, pina colada, canned",,đồ uống,237,0.6,27.6,7.6,0.1,,71,83,36,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168750",FALSE
168751,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",,đồ uống,38,0.42,6.59,1.04,0.4,,63,50,8,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168751",FALSE
168752,"Alcoholic beverage, pina colada, prepared-from-recipe",,đồ uống,174,0.42,22.66,1.88,0.3,,6,71,7,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168752",FALSE
168753,"Alcoholic beverage, tequila sunrise, canned",,đồ uống,110,0.3,11.3,0.1,0,,57,10,10,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:168753",FALSE
