id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated
2156,Bột ca cao Cocoa powder,,,423,23.3,44.2,17,4.6,,21,1524,734,,,,,,,NIN,"Bảng TPTP VN 2017, mã 12012, tr.120",FALSE
2157,Mật ong Honey,,,327,0.4,81.3,0,0,,4,52,16,,,,,,,NIN,"Bảng TPTP VN 2017, mã 12026, tr.122",FALSE
2158,Muối Table salt,,,0,0,0,0,0,,38758,4,70,,,,,,,NIN,"Bảng TPTP VN 2017, mã 13005, tr.126",FALSE
2159,"Nghệ tươi Turmeric, rhizome, fresh",,,377,0,82.5,5.2,0.9,,5,356,22,,,,,,,NIN,"Bảng TPTP VN 2017, mã 13007, tr.126",FALSE
2160,Magi Soybean sauce,,,65,10,6.1,0.1,0,,5586,212,130,,,,,,,NIN,"Bảng TPTP VN 2017, mã 13010, tr.126",FALSE
2161,Sốt mayonnaise Mayonnaise,,,701,0,0.1,77.8,0,,486,14,25,,,,,,,NIN,"Bảng TPTP VN 2017, mã 13023, tr.128",FALSE
2162,"Bia (cồn: 4,5 g) Beer hol) light (4,5 % Alco-",,,43,0.5,2.3,0,0,,4,27,26,,,,,,,NIN,"Bảng TPTP VN 2017, mã 14001, tr.132",FALSE
2163,"Nước ép cà chua Tomato salt added juice, without",,,21,0.8,3,0.6,0.4,,10,229,13,,,,,,,NIN,"Bảng TPTP VN 2017, mã 14007, tr.132",FALSE
2164,Nước quít tươi Mandarins juice (fresh),,,25,0.4,5.3,0.2,0.2,,1,178,24,,,,,,,NIN,"Bảng TPTP VN 2017, mã 14009, tr.132",FALSE
2165,"Rượu (cồn 9,5 vang g) trắng White alcohol) wine (9.5%",,,66,0.1,0.2,0,0,,4,61,6,,,,,,,NIN,"Bảng TPTP VN 2017, mã 14014, tr.134",FALSE
2166,"Rượu trắng 10.2 g) vang ngọt (cồn White (10.2% wine, alcohol) sweet",,,96,0.2,5.9,0,0,,13,110,13,,,,,,,NIN,"Bảng TPTP VN 2017, mã 14015, tr.134",FALSE
