category,serving_g,note,source
wweia_6020,122.5,Pears,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 22 ban ghi khau phan that, nhom 'Pears' (ma WWEIA 6020). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6022,113.0,Pineapple,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 23 ban ghi khau phan that, nhom 'Pineapple' (ma WWEIA 6022). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6024,125.0,Mango and papaya,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 19 ban ghi khau phan that, nhom 'Mango and papaya' (ma WWEIA 6024). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6402,110.0,Tomatoes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 23 ban ghi khau phan that, nhom 'Tomatoes' (ma WWEIA 6402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6404,80.0,Carrots,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 94 ban ghi khau phan that, nhom 'Carrots' (ma WWEIA 6404). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6406,125.0,Other red and orange vegetables,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 83 ban ghi khau phan that, nhom 'Other red and orange vegetables' (ma WWEIA 6406). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6407,40.0,Broccoli,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 62 ban ghi khau phan that, nhom 'Broccoli' (ma WWEIA 6407). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6409,110.0,Spinach,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 33 ban ghi khau phan that, nhom 'Spinach' (ma WWEIA 6409). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6410,73.0,Lettuce and lettuce salads,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 48 ban ghi khau phan that, nhom 'Lettuce and lettuce salads' (ma WWEIA 6410). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6411,85.0,Other dark green vegetables,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 108 ban ghi khau phan that, nhom 'Other dark green vegetables' (ma WWEIA 6411). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6412,55.0,String beans,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 79 ban ghi khau phan that, nhom 'String beans' (ma WWEIA 6412). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6413,90.0,Cabbage,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 29 ban ghi khau phan that, nhom 'Cabbage' (ma WWEIA 6413). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6414,89.0,Onions,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 26 ban ghi khau phan that, nhom 'Onions' (ma WWEIA 6414). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6416,85.0,Corn,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 79 ban ghi khau phan that, nhom 'Corn' (ma WWEIA 6416). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6418,100.0,Other starchy vegetables,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 93 ban ghi khau phan that, nhom 'Other starchy vegetables' (ma WWEIA 6418). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6420,85.0,Other vegetables and combinations,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 460 ban ghi khau phan that, nhom 'Other vegetables and combinations' (ma WWEIA 6420). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6430,63.0,Fried vegetables,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 65 ban ghi khau phan that, nhom 'Fried vegetables' (ma WWEIA 6430). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6432,141.5,"Coleslaw, non-lettuce salads","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 38 ban ghi khau phan that, nhom 'Coleslaw, non-lettuce salads' (ma WWEIA 6432). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6489,15.5,Vegetables on a sandwich,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 24 ban ghi khau phan that, nhom 'Vegetables on a sandwich' (ma WWEIA 6489). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6802,170.0,"White potatoes, baked or boiled","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 290 ban ghi khau phan that, nhom 'White potatoes, baked or boiled' (ma WWEIA 6802). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6804,65.0,French fries and other fried white potatoes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 214 ban ghi khau phan that, nhom 'French fries and other fried white potatoes' (ma WWEIA 6804). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_6806,138.0,Mashed potatoes and white potato mixtures,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 135 ban ghi khau phan that, nhom 'Mashed potatoes and white potato mixtures' (ma WWEIA 6806). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7002,31.0,Citrus juice,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 62 ban ghi khau phan that, nhom 'Citrus juice' (ma WWEIA 7002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7004,31.0,Apple juice,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 16 ban ghi khau phan that, nhom 'Apple juice' (ma WWEIA 7004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7006,31.0,Other fruit juice,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 94 ban ghi khau phan that, nhom 'Other fruit juice' (ma WWEIA 7006). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7008,31.0,Vegetable juice,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 34 ban ghi khau phan that, nhom 'Vegetable juice' (ma WWEIA 7008). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7102,360.0,Diet soft drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 150 ban ghi khau phan that, nhom 'Diet soft drinks' (ma WWEIA 7102). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7104,360.0,Diet sport and energy drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 65 ban ghi khau phan that, nhom 'Diet sport and energy drinks' (ma WWEIA 7104). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7106,30.0,Other diet drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 29 ban ghi khau phan that, nhom 'Other diet drinks' (ma WWEIA 7106). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7202,372.0,Soft drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 150 ban ghi khau phan that, nhom 'Soft drinks' (ma WWEIA 7202). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7204,31.0,Fruit drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 235 ban ghi khau phan that, nhom 'Fruit drinks' (ma WWEIA 7204). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7206,260.0,Sport and energy drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 102 ban ghi khau phan that, nhom 'Sport and energy drinks' (ma WWEIA 7206). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7208,252.0,Nutritional beverages,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 68 ban ghi khau phan that, nhom 'Nutritional beverages' (ma WWEIA 7208). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7220,324.0,Smoothies and grain drinks,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 120 ban ghi khau phan that, nhom 'Smoothies and grain drinks' (ma WWEIA 7220). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7302,360.0,Coffee,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 575 ban ghi khau phan that, nhom 'Coffee' (ma WWEIA 7302). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7304,360.0,Tea,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 343 ban ghi khau phan that, nhom 'Tea' (ma WWEIA 7304). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7502,360.0,Beer,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 32 ban ghi khau phan that, nhom 'Beer' (ma WWEIA 7502). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7504,180.0,Wine,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 43 ban ghi khau phan that, nhom 'Wine' (ma WWEIA 7504). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7506,75.0,Liquor and cocktails,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 226 ban ghi khau phan that, nhom 'Liquor and cocktails' (ma WWEIA 7506). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7702,240.0,Tap water,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 11 ban ghi khau phan that, nhom 'Tap water' (ma WWEIA 7702). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7704,360.0,Bottled water,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 9 ban ghi khau phan that, nhom 'Bottled water' (ma WWEIA 7704). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7802,360.0,Flavored or carbonated water,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 23 ban ghi khau phan that, nhom 'Flavored or carbonated water' (ma WWEIA 7802). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_7804,360.0,Enhanced water,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 8 ban ghi khau phan that, nhom 'Enhanced water' (ma WWEIA 7804). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8002,14.0,Butter and animal fats,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 56 ban ghi khau phan that, nhom 'Butter and animal fats' (ma WWEIA 8002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8004,14.0,Margarine,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 46 ban ghi khau phan that, nhom 'Margarine' (ma WWEIA 8004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8006,30.0,"Cream cheese, sour cream, whipped cream","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 38 ban ghi khau phan that, nhom 'Cream cheese, sour cream, whipped cream' (ma WWEIA 8006). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8008,20.0,Cream and cream substitutes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 82 ban ghi khau phan that, nhom 'Cream and cream substitutes' (ma WWEIA 8008). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8010,22.0,Mayonnaise,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 66 ban ghi khau phan that, nhom 'Mayonnaise' (ma WWEIA 8010). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8012,32.0,Salad dressings and vegetable oils,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 206 ban ghi khau phan that, nhom 'Salad dressings and vegetable oils' (ma WWEIA 8012). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8402,17.0,Tomato-based condiments,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 49 ban ghi khau phan that, nhom 'Tomato-based condiments' (ma WWEIA 8402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8404,16.0,Soy-based condiments,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 26 ban ghi khau phan that, nhom 'Soy-based condiments' (ma WWEIA 8404). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8406,15.0,Mustard and other condiments,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 112 ban ghi khau phan that, nhom 'Mustard and other condiments' (ma WWEIA 8406). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8408,30.0,"Olives, pickles, pickled vegetables","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 93 ban ghi khau phan that, nhom 'Olives, pickles, pickled vegetables' (ma WWEIA 8408). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8410,162.5,"Pasta sauces, tomato-based","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 22 ban ghi khau phan that, nhom 'Pasta sauces, tomato-based' (ma WWEIA 8410). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8412,60.0,"Dips, gravies, other sauces","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 153 ban ghi khau phan that, nhom 'Dips, gravies, other sauces' (ma WWEIA 8412). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8802,8.0,Sugars and honey,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 35 ban ghi khau phan that, nhom 'Sugars and honey' (ma WWEIA 8802). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8804,0.8,Sugar substitutes,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 44 ban ghi khau phan that, nhom 'Sugar substitutes' (ma WWEIA 8804). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_8806,20.0,"Jams, syrups, toppings","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 119 ban ghi khau phan that, nhom 'Jams, syrups, toppings' (ma WWEIA 8806). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9002,62.5,Baby food: cereals,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 42 ban ghi khau phan that, nhom 'Baby food: cereals' (ma WWEIA 9002). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9004,110.0,Baby food: fruit,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 65 ban ghi khau phan that, nhom 'Baby food: fruit' (ma WWEIA 9004). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9006,110.0,Baby food: vegetables,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 70 ban ghi khau phan that, nhom 'Baby food: vegetables' (ma WWEIA 9006). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9007,110.0,Baby food: mixtures,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 58 ban ghi khau phan that, nhom 'Baby food: mixtures' (ma WWEIA 9007). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9008,70.0,Baby food: meat and dinners,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 33 ban ghi khau phan that, nhom 'Baby food: meat and dinners' (ma WWEIA 9008). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9010,110.0,Baby food: yogurt,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 8 ban ghi khau phan that, nhom 'Baby food: yogurt' (ma WWEIA 9010). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9012,7.0,Baby food: snacks and sweets,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 33 ban ghi khau phan that, nhom 'Baby food: snacks and sweets' (ma WWEIA 9012). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9202,124.0,Baby juice,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 18 ban ghi khau phan that, nhom 'Baby juice' (ma WWEIA 9202). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9402,30.5,"Formula, ready-to-feed","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 18 ban ghi khau phan that, nhom 'Formula, ready-to-feed' (ma WWEIA 9402). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9404,30.5,"Formula, prepared from powder","USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 51 ban ghi khau phan that, nhom 'Formula, prepared from powder' (ma WWEIA 9404). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9802,26.0,Protein and nutritional powders,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 54 ban ghi khau phan that, nhom 'Protein and nutritional powders' (ma WWEIA 9802). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
wweia_9999,12.5,Not included in a food category,"USDA FNDDS/WWEIA (khao sat NHANES) — trung vi 97 ban ghi khau phan that, nhom 'Not included in a food category' (ma WWEIA 9999). Khau phan theo thoi quen an uong My, dung tham chieu/du phong, KHONG phai khau phan VN."
