id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,thai_bo_pct,is_estimated
62,Giá đỗ,giá,đậu,82,7.7,8.7,1.8,0.7,4.13,14,484,58,57.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bean sprouts, with bean, raw [Japan]. Giá đỗ (kèm hạt đậu). Đo trên mẫu Nhật Bản — bản 'không hạt' thấp hơn (35.0).",25,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1301) — Mung bean, germinated, Australia 1998, GI 25±4; glucose=100",,NIN,"NIN Bảng TPTP VN (mã 4035); sugar_g tra chéo từ USDA FDC fdcId:169957 'Mung beans, mature seeds, sprouted, raw' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",0,FALSE
65,Rau muống,,rau lá,28,3.2,3.26,0.24,1,,37.4,330.5,37,,,,,,,NIN,NIN Bảng TPTP VN (mã 4083),37.5,FALSE
67,Rau dền,,rau lá,23.0,2.46,4.02,0.33,0,,20.0,611,50.0,,,,,,,USDA,USDA FDC fdcId:168385,,FALSE
68,Rau cải ngọt,,rau lá,17,1.4,2.62,0.1,3.2,1.18,20,384,177,10,"USDA/ODS-NIH Purine DB R2.0 (2025) — Cabbage, bok choy, raw. Rau cải ngọt. Mức tin cậy: thay thế gần. cải ngọt ≈ cải thìa, cùng nhóm cải Á Đông.",,,,,NIN,"Bảng TPTP VN 2017, mã 04108, tr.56; chất xơ/Na/K bổ sung từ USDA FDC fdcId:169256 (Mustard greens, raw) | sugar_g = 1.18 g/100 g tra chéo từ USDA FoodData Central fdcId:170390 'Cabbage, chinese (pak-choi), raw' [R2 CHỐT 2026-08-18 (DAT-28): chỉ bổ sung cột đường, các chỉ số khác giữ nguyên nguồn gốc. Ánh xạ được XÁC MINH bằng đối chiếu mô tả USDA trả về, không đoán fdcId — bản đầu của scripts/tra_sugar_g_usda.py hardcode id theo trí nhớ và sai 4/8 dòng (rau muống ra Asparagus, bí xanh ra Cucumber), nên nay bắt buộc tìm-rồi-đối-chiếu. ⚠️ Hạn chế đã biết: carb_g của dòng này từ bảng NIN còn sugar_g từ USDA — hai bảng đo giống/điều kiện khác nhau nên tỷ lệ đường/carb có thể lệch so với tỷ lệ nội bộ của USDA. Ràng buộc sugar_g <= carb_g vẫn được validate_data.py kiểm.]",5,FALSE
69,Cải xanh,cải bẹ xanh,rau lá,23,1.7,3.76,0.14,1.8,1.6,28.6,220.8,13.5,25.3,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mustard (Kaneko et al. 2020, không phải USDA/ODS-NIH). Cải xanh. Mức tin cậy: thay thế gần. khả năng cao là からし菜/karashina = Brassica juncea (đúng loài cải xanh VN), nhưng bảng gốc không ghi rõ bộ phận/giống — phân biệt với Mizuna và Mustard spinach (komatsuna) đã bị loại vì khác loài (Brassica rapa).",,,,,NIN,NIN Bảng TPTP VN (mã 4016),24,FALSE
70,Cải thảo,,rau lá,14,0.9,2.57,0.0,1.2,1.41,13,235,183,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04109, tr.56; Na/K/chất xơ bổ sung từ USDA FDC fdcId:2727583 (Cabbage, napa, raw) | sugar_g = 1.41 g/100 g tra chéo từ USDA FoodData Central fdcId:169979 'Cabbage, chinese (pe-tsai), raw' [R2 CHỐT 2026-08-18 (DAT-28): chỉ bổ sung cột đường, các chỉ số khác giữ nguyên nguồn gốc. Ánh xạ được XÁC MINH bằng đối chiếu mô tả USDA trả về, không đoán fdcId — bản đầu của scripts/tra_sugar_g_usda.py hardcode id theo trí nhớ và sai 4/8 dòng (rau muống ra Asparagus, bí xanh ra Cucumber), nên nay bắt buộc tìm-rồi-đối-chiếu. ⚠️ Hạn chế đã biết: carb_g của dòng này từ bảng NIN còn sugar_g từ USDA — hai bảng đo giống/điều kiện khác nhau nên tỷ lệ đường/carb có thể lệch so với tỷ lệ nội bộ của USDA. Ràng buộc sugar_g <= carb_g vẫn được validate_data.py kiểm.]",5,FALSE
71,Cải bắp,bắp cải,rau lá,41,1.96,7.61,0.33,1.74,3.89,30.76,205.98,33.7,3.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Cabbage, raw [Japan]. Cải bắp/bắp cải thường. Đo trên mẫu Nhật Bản.",,,,,NIN,"NIN Bảng TPTP VN (mã 4010002); thải bỏ 10% tra CHÉO từ NIN mã 4010 'Cabbage, common'",10,FALSE
72,Cải cúc,tần ô,rau lá,22,1.6,3.9,0.6,2.0,,33,219,38,47.1,USDA/ODS-NIH Purine DB R2.0 (2025) — Garland chrysanthemum [Japan]. Cải cúc/tần ô — khớp tên trực tiếp. Đo trên mẫu Nhật Bản.,,,,,NIN,"Bảng TPTP VN 2017, mã 04013, tr.44; chất béo bổ sung từ USDA FDC fdcId:168491 (Chrysanthemum leaves, raw)",25,FALSE
74,Rau đay,,rau lá,31,2.8,4.52,0.18,1.5,,16.12,417,57.3,,,,,,,NIN,NIN Bảng TPTP VN (mã 4070),20,FALSE
75,Rau lang,đọt lang,rau lá,28,2.6,3.99,0.21,1.4,,19.01,498.02,54,,,,,,,NIN,NIN Bảng TPTP VN (mã 4076),5,FALSE
76,Xà lách,,rau lá,15.0,1.36,2.87,0.15,1.3,0.78,28.0,194,29.0,4.7,USDA/ODS-NIH Purine DB R2.0 (2025) — Lettuce. Xà lách. Mức tin cậy: khớp trực tiếp.,,,,,USDA,USDA FDC fdcId:169249,,FALSE
78,Rau mùi,ngò rí|ngò,rau lá,22,2.6,2.17,0.33,1.8,0.87,46,521,80,39.4,USDA/ODS-NIH Purine DB R2.0 (2025) — Coriander [Japan]. Rau mùi/ngò rí. Đo trên mẫu Nhật Bản.,,,,,NIN,NIN Bảng TPTP VN (mã 4081),15,FALSE
79,Hành lá,hành hoa,rau lá,32,1.83,7.34,0.19,2.6,2.33,16,276,37,41.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Leek, Japanese (negi), raw. Hành lá. Mức tin cậy: thay thế gần. hành lá ≈ negi, cùng nhóm hành lá dài.",,,,,USDA,"Khớp chéo ngôn ngữ (không phải khớp trực tiếp) — USDA FoodData Central 'Onions, spring or scallions (includes tops and bulb), raw' (fdcId:170005), lý do khớp: hành lá = spring onion/scallion, khớp trực tiếp. CẦN R2 xác nhận độ phù hợp trước khi dùng cho bệnh nhân.; thải bỏ 24% tra CHÉO từ NIN mã 4037 'Onion, Welsh'; sugar_g từ USDA FDC fdcId:170005 'Total Sugars'",24,TRUE
82,Thì là,thìa là,rau lá,47,2.6,6.94,0.96,5,,48,360.6,12.2,,,,,,,NIN,NIN Bảng TPTP VN (mã 4101),25,FALSE
84,Súp lơ xanh,bông cải xanh,rau lá,39,2.95,6.08,0.3,3.2,3.03,23,300,62,70.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Broccoli, raw [Japan]. Súp lơ xanh/bông cải xanh, dạng sống. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4100),39,FALSE
85,Cà chua,,rau củ,18.0,0.88,3.89,0.2,1.2,2.63,5.0,237,24.0,6.6,"USDA/ODS-NIH Purine DB R2.0 (2025) — Tomatoes, no further specified. Cà chua. Mức tin cậy: khớp trực tiếp.",22,Atkinson2021,"Atkinson FS et al. 2021, Am J Clin Nutr 114:1625-1632, tr.1630 — whole tomatoes GI 22; glucose=100",,USDA,USDA FDC fdcId:170457,,FALSE
86,Cà rốt,,rau củ,47,1.6,9.79,0.21,1.28,4.83,55.32,282.45,41.49,2.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Carrots, raw [Japan]. Cà rốt. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4007002); thải bỏ 15% tra CHÉO từ NIN mã 4090 'Carrot',15,FALSE
87,Củ cải trắng,,rau củ,27,1.5,5.11,0.09,1.5,2.5,10,242,41,1.7,"USDA/ODS-NIH Purine DB R2.0 (2025) — Radish root, Japanese [Japan]. Củ cải trắng — daikon, khớp loại trực tiếp. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4021),13.2,FALSE
88,Su hào,,rau củ,27.0,1.7,6.2,0.1,3.6,2.6,20.0,350,46.0,,,,,,,USDA,USDA FDC fdcId:168424; thải bỏ 22.4% tra CHÉO từ NIN mã 4096 'Kohlrabi',22.4,FALSE
89,Su su,,rau củ,19.0,0.82,4.51,0.13,1.7,1.66,2.0,125,18.0,,,,,,,USDA,"USDA FDC fdcId:170402; thải bỏ 20% tra CHÉO từ NIN mã 4098 'Chayote, fruit raw'",20,FALSE
91,Bí đỏ,bí ngô,rau củ,35,0.34,7.75,0.34,0.79,,9.44,391.57,17.98,56.7,"USDA/ODS-NIH Purine DB R2.0 (2025) — Pumpkin, raw [Japan]. Bí đỏ/bí ngô. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4003002),,FALSE
92,Bầu,,rau củ,18,0.6,3.88,0.02,1.0,,2,150,25,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04001, tr.44",35.3,FALSE
93,Mướp,,rau củ,18,0.9,3.36,0.14,0.5,,3,139,45,,,,,,,NIN,NIN Bảng TPTP VN (mã 4054),18.8,FALSE
94,Mướp đắng,khổ qua,rau củ,17.0,1.0,3.7,0.17,2.8,,5.0,296,31.0,,,,,,,USDA,"USDA FDC fdcId:168393; thải bỏ 20% tra CHÉO từ NIN mã 4055 'Balsam-pear, bitter melon'",20,FALSE
95,Dưa chuột,dưa leo,rau củ,19,0.3,4.16,0.14,0.7,1.06,13,169,16,9.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Cucumber, raw [Japan]. Dưa chuột/dưa leo. Đo trên mẫu Nhật Bản.",,,,,NIN,"Viện Dinh dưỡng - Bộ Y tế, 'Bảng thành phần thực phẩm Việt Nam / Vietnamese Food Composition Table', NXB Y học; bản PDF do FAO lưu trữ (fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf), mã 4027 'Dưa chuột / Cucumber'. Sửa 2026-08-15 (R2 chốt): dòng này trước trích mã 11002 — nhưng 11002 là 'Dưa chuột HỘP', không phải dưa chuột tươi; mã đúng cho quả tươi là 4027. Na 154.38->13, K 2.94->169 (kali 2.94 mg/100g là bất khả với một loại rau). CÒN LỆCH, chờ R2 duyệt riêng: protein 0.3 (FCT 4027 ghi 0.8), glucid 4.16 (FCT 2.9), phospho 16 (FCT 27) — dòng này có nhiều nguồn trộn lẫn, không chỉ sai Na/K",5,FALSE
96,Đậu cove,đậu que,rau củ,77,5.0,14.3,0.3,1.0,,96,254,122,7.5,USDA/ODS-NIH Purine DB R2.0 (2025) — Green beans [Japan]. Đậu cove/đậu que. Đo trên mẫu Nhật Bản.,,,,,NIN,"Bảng TPTP VN 2017, mã 04029, tr.46; chất béo bổ sung từ USDA FDC fdcId:2346400 (Beans, snap, green, raw)",10,FALSE
97,Đậu bắp,mướp tây,rau củ,33.0,1.93,7.45,0.19,3.2,1.48,7.0,299,61.0,39.5,"USDA/ODS-NIH Purine DB R2.0 (2025) — Okra, raw. Đậu bắp. Mức tin cậy: khớp trực tiếp.",,,,,USDA,USDA FDC fdcId:169260,,FALSE
98,Cà tím,,rau củ,25.0,0.98,5.88,0.18,3.0,3.53,2.0,229,24.0,,,,,,,USDA,USDA FDC fdcId:169228,,FALSE
99,Măng tươi,,rau củ,24,2.2,3.36,0.14,2.3,1.88,2,202,6.2,47.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bamboo shoots, raw [Japan]",,,,,NIN,NIN Bảng TPTP VN (mã 4052),50,FALSE
100,Nấm rơm,,rau củ,32.0,3.83,4.64,0.68,2.5,,384,78.0,61.0,46.9,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mushrooms (not further specified), raw [Canada]",,,,,USDA,USDA FDC fdcId:168582,,FALSE
101,Nấm hương,nấm đông cô,rau củ,51,5.5,6.1,0.5,3.0,2.38,9,304,89,23.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Mushrooms, shiitake, raw [Japan]",,,,,NIN,"Bảng TPTP VN 2017, mã 04127, tr.60 (tên: Nấm hương tươi); Na/K bổ sung từ USDA FDC fdcId:169242 (Shiitake, raw); sugar_g tra chéo từ USDA FDC fdcId:169242 'Mushrooms, shiitake, raw' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",,FALSE
102,Hành tây,,rau củ,45,1.8,9.29,0.11,1.1,4.28,7.5,220.7,58,2.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Onions, raw [Japan]. Hành tây. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4039),17,FALSE
103,Chuối tiêu,chuối già,trái cây,100,1.5,23,0.2,0.8,12.23,19.3,329.4,28,3.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Bananas, raw [Japan]. Chuối tiêu/chuối già. Đo trên mẫu Nhật Bản.",47,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1088) — Banana, raw, Australia 2008, GI 47±5; glucose=100",,NIN,"NIN Bảng TPTP VN (mã 5007) | sugar_g = 12.23 g/100 g tra chéo từ USDA FoodData Central fdcId:bananas raw 'Bananas, raw' [R2 CHỐT 2026-08-18 (DAT-28): chỉ bổ sung cột đường, nguồn của các chỉ số còn lại giữ nguyên như ghi ở trên. Ánh xạ do R2 đối chiếu tay từng dòng, không khớp tên tự động.]",35,FALSE
104,Cam sành,,trái cây,47.0,0.94,11.8,0.12,2.4,9.35,0.0,181,14.0,,,45,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Oranges, navel, Australia 2020, GI 45±5; glucose=100",,USDA,USDA FDC fdcId:169097,,FALSE
105,Quýt,,trái cây,53.0,0.81,13.3,0.31,1.8,10.6,2.0,166,20.0,,,52,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1140) — Mandarin orange (Citrus reticulata), Italy 2004, GI 52±8; glucose=100",,USDA,USDA FDC fdcId:169105,,FALSE
106,Bưởi,,trái cây,38.0,0.76,9.62,0.04,1.0,,1.0,216,17.0,,,,,,,USDA,USDA FDC fdcId:167754,,FALSE
107,Táo,bom,trái cây,46,3.8,4.7,1.2,0.2,,33,85,150,,,44,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 — Apples, raw, Australia 2020, GI 44±5; glucose=100",,NIN,NIN Bảng TPTP VN (mã 3033),0,FALSE
108,Lê,,trái cây,48,0.7,10.8,0.2,0.6,9.8,5,88.4,16,,,33,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1161) — Pear, Williams, raw, ripe/soft, Australia 2015, GI 33±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5023),12,FALSE
109,Xoài chín,,trái cây,69,0.6,15.9,0.3,0,14.8,2.1,114.1,13,,,48,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1142) — Mango, raw (Chin-Hwang), Taiwan 2010, GI 48; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5055),20,FALSE
110,Đu đủ chín,,trái cây,38,1,8.19,0.11,0.6,5.9,4.3,220.5,32,,,38,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1153) — Papaya/paw paw, raw, Singapore 2017, GI 38±2; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5017),12.4,FALSE
111,Dứa,thơm|khóm,trái cây,57,0.3,13.84,0.06,0.2,12.65,1,105,12,,,82,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1164) — Pineapple, raw (Ananas comosa), Malaysia 2008, GI 82±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 11003),0,FALSE
112,Dưa hấu,,trái cây,18,1.2,2.8,0.2,0.5,,4.5,187.2,13,,,51,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1147) — Watermelon, raw, red-fleshed, seedless, Malaysia 2017, GI 51±2; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5011),48,FALSE
113,Nhãn,,trái cây,60.0,1.31,15.1,0.1,1.1,,0.0,266,21.0,,,,,,,USDA,USDA FDC fdcId:169089,,FALSE
114,Vải,,trái cây,49,0.7,10.75,0.35,1.1,,1,171,34,,,57,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1138) — Lychee, fresh, Australia 2009, GI 57±3; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5052),48,FALSE
115,Ổi,,trái cây,61,0.6,12.94,0.76,6,8.92,4,291,16,,,29,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1131) — Guava, raw, Singapore 2017, GI 29±4; glucose=100",,NIN,NIN Bảng TPTP VN (mã 5040),5,FALSE
116,Thanh long,,trái cây,68,0.68,16.2,0.21,1.8,12.0,1,206,18,,,,,,,USDA,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2709234, foodCode 63116010, ""Dragon fruit""",,FALSE
117,Na,mãng cầu ta,trái cây,69,1.6,15.1,0.2,0.8,,22.3,259.5,45,,,58,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Custard apple, fresh; glucose=100, n=12",,NIN,NIN Bảng TPTP VN (mã 5034),44.4,FALSE
118,Sầu riêng,,trái cây,138,2.5,28.3,1.6,1.4,,1,601,63,,,,,,,NIN,NIN Bảng TPTP VN (mã 5048),75,FALSE
119,Bơ,trái bơ,trái cây,756,0.5,0.5,83.5,0,,11,24,12,18.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Avocado, raw [Japan]. Bơ/trái bơ. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 6001),0,FALSE
120,Nho,,trái cây,71,0.4,16.99,0.11,0.6,15.48,2,191,22,,,54,Atkinson2021,"Atkinson et al. 2021, AJCN Suppl. Table 1 (#1133-1135) — Grapes, trung bình 3 mẫu (Crimson 50/green 54/black 59); glucose=100",,NIN,NIN Bảng TPTP VN (mã 5037),1.9,FALSE
121,Chanh,,trái cây,29,0.9,5.96,0.14,1.3,1.69,3,145,22,,,,,,,NIN,"NIN Bảng TPTP VN (mã 5003); sugar_g tra chéo từ USDA FDC fdcId:168155 'Limes, raw' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",25,FALSE
122,Dừa (nước),nước dừa,trái cây,41,0.3,9.74,0.06,0.4,,2,130,12,,,,,,,NIN,NIN Bảng TPTP VN (mã 11013),0,FALSE
123,Sữa tươi không đường,,sữa,60.0,3.27,4.63,3.2,0,,38.0,150,101,,,,,,sữa,USDA,USDA FDC fdcId:746782,,FALSE
125,Sữa đặc có đường,,sữa,65,3.3,4.66,3.7,0,4.66,46,155,95,,,61,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Milk, full-cream condensed, sweetened; glucose=100, n=12",sữa,NIN,NIN Bảng TPTP VN (mã 10035),,FALSE
126,Sữa chua,yaourt|da ua,sữa,61,3.3,3.6,3.7,0,,46,155,95,5.2,USDA/ODS-NIH Purine DB R2.0 (2025) — Yogurt (not further specified) [Japan]. Sữa chua — PROXY loại không rõ chi tiết. Bản Bắc Mỹ 'plain' cho 7.0 (dải 5.2-7.0).,,,,sữa,NIN,NIN Bảng TPTP VN (mã 10004),0,FALSE
127,Phô mai,pho mát,sữa,380,25.5,0,30.9,0,0,621,98,424,,,,,,sữa,NIN,"NIN Bảng TPTP VN (mã 10009) | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",0,FALSE
128,Sữa bột nguyên kem,,sữa,494,27,38,26,0,,371,1330,790,,,,,,sữa,NIN,NIN Bảng TPTP VN (mã 10006),0,FALSE
129,Dầu ăn thực vật,,dầu mỡ,884,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,"USDA/ODS-NIH Purine DB R2.0 (2025) — —. Dầu ăn thực vật. Mức tin cậy: suy từ thành phần hoá học. dầu thực vật tinh luyện: triglycerid, không có acid nucleic. KHÔNG phải giá trị phân tích: USDA không đo nhóm này vì không chứa acid nucleic.",,,,,USDA,USDA FDC fdcId:171411,,FALSE
130,Mỡ lợn,mỡ heo,dầu mỡ,902,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0,"USDA/ODS-NIH Purine DB R2.0 (2025) — —. Mỡ lợn. Mức tin cậy: suy từ thành phần hoá học. mỡ lợn rán lấy nước: lipid, không có acid nucleic. KHÔNG phải giá trị phân tích: USDA không đo nhóm này vì không chứa acid nucleic.",,,,,USDA,"USDA FDC fdcId:171401; thải bỏ 0% tra CHÉO từ mỡ nước = mỡ lợn ĐÃ RÁN CHẢY, không có phần bỏ đi (sự thật vật lý)",0,FALSE
131,Bơ động vật,,dầu mỡ,717,0.85,0.06,81.1,0.0,0.06,643,24.0,24.0,,,,,,sữa,USDA,USDA FDC fdcId:173410,,FALSE
132,Lạc rang,đậu phộng rang,hạt,587,24.4,21.3,49.7,8.4,4.9,410,634,363,49.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Peanuts, raw. Lạc rang. Mức tin cậy: thay thế gần. lạc RANG, bảng chỉ có lạc sống.",,,,lạc,USDA,USDA FDC fdcId:174262,,FALSE
133,Vừng,mè,hạt,607,20.94,21.98,48.33,3.65,0.31,11.46,487.5,655.21,36.3,USDA/ODS-NIH Purine DB R2.0 (2025) — Sesame [Japan]. Vừng/mè. Đo trên mẫu Nhật Bản.,,,,vừng,NIN,NIN Bảng TPTP VN (mã 3020011),,FALSE
134,Hạt điều,,hạt,608,18.4,29.3,46.3,0.6,5.91,12,660,462,,,,,,hạt cây,NIN,NIN Bảng TPTP VN (mã 3015),0,FALSE
135,Hạt sen,hột sen,hạt,164,9.5,30.3,0.5,0.8,,1,367,164,,,,,,,NIN,NIN Bảng TPTP VN (mã 4040),39,FALSE
136,Nước cốt dừa,,dầu mỡ,230,2.29,5.54,23.8,2.2,3.34,15,263,100,,,,,,,USDA,"USDA FDC (FNDDS/WWEIA Survey Foods) fdcId:2705413, foodCode 11370000, ""Coconut milk, used in cooking""",,FALSE
137,Nước mắm,,gia vị,35,5.06,3.64,0.01,0,0,7720,288,7,93.1,"USDA/ODS-NIH Purine DB R2.0 (2025) — Sauce, fish [Japan]. Nước mắm — khớp loại trực tiếp (fish sauce). Đo trên mẫu Nhật Bản.",,,,cá,NIN,"NIN Bảng TPTP VN (mã 13017) [đường: Bộ Y tế – Viện Dinh dưỡng, Bảng thành phần thực phẩm Việt Nam (bản PDF do FAO lưu), cột 'Đường tổng số (Sugar)', mã 13017]",0,FALSE
138,Nước mắm giảm mặn,,gia vị,20,4.0,2.0,0,0,,4000,150,20,,,,,,cá,estimated,Ước tính nước mắm giảm mặn (~1/2 nước mắm thường) — Na ~4.000 mg/100 g,,TRUE
139,Muối ăn,,gia vị,0,0,0,0,0,0,38758,8,0,0,"USDA/ODS-NIH Purine DB R2.0 (2025) — —. Muối ăn. Mức tin cậy: suy từ thành phần hoá học. muối ăn: NaCl, không có acid nucleic. KHÔNG phải giá trị phân tích: USDA không đo nhóm này vì không chứa acid nucleic.",,,,,curated,"USDA FDC 'Salt, table' — Na 38758 mg/100 g (NaCl)",,FALSE
140,Bột canh,,gia vị,0,0,0,0,0,0,33000,0,0,,,,,,,estimated,Ước tính bột canh (~85% muối + MSG) — Na ~33.000 mg/100 g; cần đối chiếu nhãn,,TRUE
141,Hạt nêm,,gia vị,5,1.0,1.0,0,0,,17000,20,10,,,,,,,estimated,Ước tính hạt nêm (muối + MSG + chiết xuất) — Na ~17.000 mg/100 g; cần đối chiếu nhãn,,TRUE
142,Mì chính,bột ngọt,gia vị,0,0,0,0,0,0,12280,0,0,,,,,,,curated,"Mì chính = MSG (NaC5H8NO4) — natri hoá học 12,28% khối lượng",,FALSE
143,Nước tương,xì dầu,gia vị,55,6.3,7.46,0.04,0.8,1.7,5637,217,125,50.25,"USDA/ODS-NIH Purine DB R2.0 (2025) — Soy sauce made from soy and wheat (shoyu) [Japan]. Nước tương/xì dầu. Đo trên mẫu Nhật Bản — shoyu (đậu nành+lúa mì) là loại phổ biến nhất, gần với nước tương VN.",,,,đậu nành|gluten,NIN,NIN Bảng TPTP VN (mã 13022),0,FALSE
144,Mắm tôm,,gia vị,73,14.8,3.6,1.5,0,0,4054,200,100,,,,,,hải sản,estimated,"Na 4054 từ NIN 'Mắm tôm đặc' (mã 13011); macro ước tính từ mắm tôm đặc [đường: Bộ Y tế – Viện Dinh dưỡng, Bảng thành phần thực phẩm Việt Nam (bản PDF do FAO lưu), cột 'Đường tổng số (Sugar)', mã 13011]; thải bỏ 0% tra CHÉO từ mắm tôm là gia vị dạng nhuyễn, không có phần bỏ đi",0,TRUE
147,Tương ớt,,gia vị,41,0.5,8.5,0.5,0.9,2.55,25,564,16,,,,,,,NIN,NIN Bảng TPTP VN (mã 13021),0,FALSE
148,Dầu hào,,gia vị,73,2.9,14.7,0.3,0,,3379,74,32,134.4,"USDA/ODS-NIH Purine DB R2.0 (2025) — Sauce, oyster [Japan]. Dầu hào — khớp loại trực tiếp. Đo trên mẫu Nhật Bản.",,,,hải sản,NIN,NIN Bảng TPTP VN (mã 13027),,FALSE
149,Đường trắng,,gia vị,385,0.0,99.6,0.32,0,99.6,1.0,2.0,0.0,0,"USDA/ODS-NIH Purine DB R2.0 (2025) — —. Đường trắng. Mức tin cậy: suy từ thành phần hoá học. đường tinh luyện: sucroza tinh khiết, không có acid nucleic. KHÔNG phải giá trị phân tích: USDA không đo nhóm này vì không chứa acid nucleic.",,,,,USDA,"USDA FDC fdcId:746784 | USDA FDC fdcId:746784 'Sugars, granulated' — Total Sugars 99.7–99.8 g/100 g. [R2 CHỐT 2026-08-18 (DAT-28): đường tinh luyện gần như 100% sucrose nên TOÀN BỘ carb là đường; lấy sugar_g = carb_g = 99.6 của chính dòng này để không vượt carb tổng (ràng buộc validator) và giữ nội bộ nhất quán. Trước đây ô này TRỐNG khiến 47 món có đường bị tính ~0 g đường — rule T2DM-SUG-01 (trần 10 %E đường tự do) không bao giờ kích hoạt được.]",,FALSE
151,Tỏi,,gia vị,126,6,24.65,0.35,1.5,1,18,373,181,17.0,"USDA/ODS-NIH Purine DB R2.0 (2025) — Garlic, raw [Japan]. Tỏi. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 4103),20,FALSE
152,Gừng,,gia vị,41,0.4,8.59,0.51,3.3,1.7,7,316,8,2.3,"USDA/ODS-NIH Purine DB R2.0 (2025) — Ginger root, raw [Japan]. Gừng. Đo trên mẫu Nhật Bản.",,,,,NIN,NIN Bảng TPTP VN (mã 13003),10,FALSE
2000,"Gạo nếp cái Glutinous raw rice, milled,",,ngũ cốc,348,8.6,75.1,1.5,0.6,,3,282,98,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01001, tr.24",0,FALSE
2001,"Gạo (loại nếp thường) Glutinous raw rice, milled,",,ngũ cốc,350,8.4,75.4,1.6,0.5,,3,282,130,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01002, tr.24",0,FALSE
