id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated,match_confidence,nin_name
125,Sữa đặc có đường,,sữa,65,3.3,4.66,3.7,0,4.66,46,155,95,,,61,Chan2001_VN,"Chan HMS et al. 2001, Eur J Clin Nutr 55:1076-1083, Table 2 — Milk, full-cream condensed, sweetened; glucose=100, n=12",sữa,NIN,NIN Bảng TPTP VN (mã 10035),FALSE,subset,"Sữa chua, đặc, có đường"
126,Sữa chua,yaourt|da ua,sữa,61,3.3,3.6,3.7,0,,46,155,95,,,,,,sữa,NIN,NIN Bảng TPTP VN (mã 10004),FALSE,exact,Sữa chua
127,Phô mai,pho mát,sữa,380,25.5,0,30.9,0,,621,98,424,,,,,,sữa,NIN,NIN Bảng TPTP VN (mã 10009),FALSE,alias-exact,Phó mát
128,Sữa bột nguyên kem,,sữa,494,27,38,26,0,,371,1330,790,,,,,,sữa,NIN,NIN Bảng TPTP VN (mã 10006),FALSE,override,Sữa bột toàn phần
129,Dầu ăn thực vật,,dầu mỡ,884,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,,,,,,,USDA,USDA FDC fdcId:171411,FALSE,usda,"Oil, soybean, salad or cooking"
130,Mỡ lợn,mỡ heo,dầu mỡ,902,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,,,,,,,USDA,USDA FDC fdcId:171401,FALSE,usda,Lard
131,Bơ động vật,,dầu mỡ,717,0.85,0.06,81.1,0.0,0.06,643,24.0,24.0,,,,,,sữa,USDA,USDA FDC fdcId:173410,FALSE,usda,"Butter, salted"
132,Lạc rang,đậu phộng rang,hạt,587,24.4,21.3,49.7,8.4,4.9,410,634,363,,,,,,lạc,USDA,USDA FDC fdcId:174262,FALSE,usda,"Peanuts, all types, dry-roasted, with salt"
133,Vừng,mè,hạt,607,20.94,21.98,48.33,3.65,0.31,11.46,487.5,655.21,,,,,,vừng,NIN,NIN Bảng TPTP VN (mã 3020011),FALSE,subset,Vừng rang
134,Hạt điều,,hạt,608,18.4,29.3,46.3,0.6,5.91,12,660,462,,,,,,hạt cây,NIN,NIN Bảng TPTP VN (mã 3015),FALSE,subset,"Hạt điều, khô "
135,Hạt sen,,hạt,164,9.5,30.3,0.5,0.8,,1,367,164,,,,,,,NIN,NIN Bảng TPTP VN (mã 4040),FALSE,subset,"Hạt sen, tươi"
136,Nước cốt dừa,,dầu mỡ,,,,,,,,,,,,,,,,,,FALSE,MISS,
137,Nước mắm,,gia vị,35,5.06,3.64,0.01,0,,7720,288,7,,,,,,cá,NIN,NIN Bảng TPTP VN (mã 13017),FALSE,subset,Nước mắm cá
138,Nước mắm giảm mặn,,gia vị,20,4.0,2.0,0,0,,4000,150,20,,,,,,cá,estimated,Ước tính nước mắm giảm mặn (~1/2 nước mắm thường) — Na ~4.000 mg/100 g,TRUE,manual,
139,Muối ăn,,gia vị,0,0,0,0,0,0,38758,8,0,,,,,,,curated,"USDA FDC 'Salt, table' — Na 38758 mg/100 g (NaCl)",FALSE,manual,
140,Bột canh,,gia vị,0,0,0,0,0,0,33000,0,0,,,,,,,estimated,Ước tính bột canh (~85% muối + MSG) — Na ~33.000 mg/100 g; cần đối chiếu nhãn,TRUE,manual,
141,Hạt nêm,,gia vị,5,1.0,1.0,0,0,,17000,20,10,,,,,,,estimated,Ước tính hạt nêm (muối + MSG + chiết xuất) — Na ~17.000 mg/100 g; cần đối chiếu nhãn,TRUE,manual,
142,Mì chính,bột ngọt,gia vị,0,0,0,0,0,0,12280,0,0,,,,,,,curated,"Mì chính = MSG (NaC5H8NO4) — natri hoá học 12,28% khối lượng",FALSE,manual,
143,Nước tương,xì dầu,gia vị,55,6.3,7.46,0.04,0.8,1.7,5637,217,125,,,,,,đậu nành|gluten,NIN,NIN Bảng TPTP VN (mã 13022),FALSE,alias-exact,Xì dầu
144,Mắm tôm,,gia vị,73,14.8,3.6,1.5,0,,4054,200,100,,,,,,hải sản,estimated,Na 4054 từ NIN 'Mắm tôm đặc' (mã 13011); macro ước tính từ mắm tôm đặc,TRUE,manual,
145,Mắm nêm,,gia vị,,,,,,,,,,,,,,,cá,,,FALSE,MISS,
146,Mắm ruốc,,gia vị,,,,,,,,,,,,,,,hải sản,,,FALSE,MISS,
147,Tương ớt,,gia vị,41,0.5,8.5,0.5,0.9,2.55,25,564,16,,,,,,,NIN,NIN Bảng TPTP VN (mã 13021),FALSE,exact,Tương ớt
148,Dầu hào,,gia vị,73,2.9,14.7,0.3,0,,3379,74,32,,,,,,hải sản,NIN,NIN Bảng TPTP VN (mã 13027),FALSE,exact,Dầu hào
149,Đường trắng,,gia vị,385,0.0,99.6,0.32,0,,1.0,2.0,0.0,,,,,,,USDA,USDA FDC fdcId:746784,FALSE,usda,"Sugars, granulated"
150,Đường thốt nốt,,gia vị,,,,,,,,,,,,,,,,,,FALSE,MISS,
151,Tỏi,,gia vị,126,6,24.65,0.35,1.5,1,18,373,181,,,,,,,NIN,NIN Bảng TPTP VN (mã 4103),FALSE,subset,"Tỏi ta, tươi"
152,Gừng,,gia vị,41,0.4,8.59,0.51,3.3,1.7,7,316,8,,,,,,,NIN,NIN Bảng TPTP VN (mã 13003),FALSE,subset,Gừng tươi
